img_distorted,img_num,codec,dlevel,distortion,PSNR-Y,SSIM,MS-SSIM,IW-SSIM,VMAF-neg,SSIMULACRA2,HDR-VDP-2 Q,HDR-VDP-3 Q,CVVDP,PSNR-Y mapped,SSIM mapped,MS-SSIM mapped,IW-SSIM mapped,SSIMULACRA2 mapped,VMAF-neg mapped,HDR-VDP-2 Q mapped,HDR-VDP-3 Q mapped,CVVDP mapped
PTC_00002_AVIF_01.png,2,1,1,0.120314730481241,47.323361,0.986571414840386,0.998117326738922,0.997920737910273,94.824595,88.67840533,61.9353150536917,9.99641500644239,9.8821,0.24748968810471100,0.5047193662567370,0.4545856570004630,0.48272989236994000,0.356358191342908,0.4287757325099070,0.4708323554165740,0.5011254592378650,0.3657134338416470
PTC_00002_AVIF_02.png,2,1,2,0.736802785805397,44.275919,0.973479517463015,0.995801281041951,0.994822115492409,93.141775,83.01801167,56.6053662840157,9.99061772286089,9.7217,0.7258893741294570,0.9635058510486300,0.895083255156675,0.9891599339562730,0.78274819384478,0.8927828529318510,0.8930044908316750,0.9286136700818160,0.8729080711430000
PTC_00002_AVIF_03.png,2,1,3,1.29350241386009,42.876353,0.964440894347385,0.993954024432009,0.992129223940379,91.96247,78.86697499,54.2126132248562,9.98513461447715,9.5917,0.9893455151051530,1.2731177086823300,1.217931445244650,1.374882070416840,1.08534891021164,1.1873166139355800,1.145604071871930,1.247331847874800,1.2870323435275900
PTC_00002_AVIF_04.png,2,1,4,1.86760740977406,41.859597,0.956341175576757,0.99214864038006,0.989320861176868,90.725568,75.4221522,51.6302317992549,9.97949419065807,9.4624,1.1950141114622600,1.5471876446272600,1.518725223908860,1.7476870361330000,1.332324570447900,1.4803293214949,1.468028716628800,1.5330357172365700,1.7006538144307800
PTC_00002_AVIF_05.png,2,1,5,2.24025047129614,41.188781,0.950210472119996,0.990604396662821,0.986714321452857,89.607931,72.47020478,49.7794907849802,9.97398414641233,9.361,1.336767155676730,1.7529180139149200,1.767459593805880,2.07511126544329,1.541627667494480,1.7347945425702500,1.7334478814001300,1.7857601320040300,2.0259506964398400
PTC_00002_AVIF_06.png,2,1,6,2.58789319471886,40.614014,0.944096021927977,0.989080649464451,0.984193706095006,88.530638,69.52626111,48.7846199443983,9.96841728813096,9.2659,1.4618589037281100,1.9568444858268700,2.006714054398410,2.3788339607643900,1.7485640955686100,1.9727744008773700,1.8886747158445700,2.0221618183063200,2.331649062264300
PTC_00002_AVIF_07.png,2,1,7,2.89152222894396,40.108584,0.938506156866333,0.987494484148914,0.981405695553106,87.626192,66.85903741,48.146447046592,9.96202456143726,9.1723,1.5745297629695800,2.1422990736736000,2.2503130799998200,2.7029428001775800,1.934699443737520,2.1679442866214400,1.9930328221534700,2.2758455222438000,2.6330283834068800
PTC_00002_AVIF_08.png,2,1,8,3.09036116368053,39.766364,0.93408041593995,0.986356241592488,0.979408590709608,86.518451,64.80705311,47.1865167824053,9.95740324683176,9.1101,1.6521955933205300,2.288531660954930,2.4221461465888800,2.9286964488605800,2.0771179833612,2.4020483726255100,2.1572336482383800,2.4497383845119600,2.83355159490962
PTC_00002_AVIF_09.png,2,1,9,3.29525976828081,39.43455,0.929743710600135,0.985009480860333,0.977022215965327,85.68157,62.42398594,46.5783190599282,9.9509966710582,9.0417,1.7285380369788200,2.4313474162372600,2.6226136226656500,3.192413642081320,2.2417381265083200,2.575733783630400,2.2658583798893700,2.6799925874188100,3.054271901188030
PTC_00002_AVIF_10.png,2,1,10,3.44879283455882,39.188766,0.926490954723567,0.984085076005927,0.975301136381986,85.077257,60.93176012,46.3000186409968,9.94722390190208,8.9937,1.7857347623319200,2.538176750899770,2.7585860615016300,3.378968783699550,2.344423952985150,2.69961865519041,2.3167712598867400,2.8105180711473200,3.20928610323102
PTC_00002_JPEG-1_01.png,2,2,1,0.387504449082799,43.67074,0.97353037499975,0.996871454313975,0.996711754492154,93.574559,85.13138367,59.5028875460218,9.99479604796909,9.874,0.8368690774913640,0.9617502725160390,0.6981218833588610,0.6921804177670010,0.6259060271215790,0.7796373194864500,0.641107724714618,0.6363772441957730,0.3911750820240890
PTC_00002_JPEG-1_02.png,2,2,2,0.919449189840329,41.554024,0.957870714516169,0.99408887406179,0.993206053740991,91.987437,79.01409909,54.1508143910307,9.98800888425434,9.7004,1.2590073453438000,1.495642607549230,1.1949450098159700,1.224686822026840,1.0747257790466300,1.1812534663324000,1.1526988570121700,1.0868042487267500,0.9406145616333570
PTC_00002_JPEG-1_03.png,2,2,3,1.23426029572229,40.622949,0.948581608083089,0.992142652900214,0.99045763066569,90.871558,75.31738681,52.1355651756283,9.98218158154955,9.5727,1.4598893138073900,1.8073593828065500,1.519703497023530,1.5996676499248800,1.3397870441581000,1.4464283905097500,1.4006538182553000,1.400995215186520,1.3477168807334400
PTC_00002_JPEG-1_04.png,2,2,4,1.46379952004418,40.079282,0.942197949951851,0.99061239505364,0.988068878582718,89.744484,72.20081453,50.6722357429881,9.97690558676674,9.4709,1.5811366733609100,2.0199160745499500,1.7661885410318700,1.9068637447826600,1.5606342739759700,1.704148808066320,1.601699498851820,1.6544562145275700,1.6734195000871700
PTC_00002_JPEG-1_05.png,2,2,5,1.60620244000024,39.717435,0.937917945923217,0.989623272458393,0.986611599661899,89.191645,70.50973981,49.5716722871855,9.97344595992956,9.4082,1.663389207781710,2.1617638525104800,1.9221473080248000,2.087716345069750,1.6796168635798800,1.8275263803346300,1.7651327464147600,1.8093585559566700,1.8744402286088700
